Country,Region,Classic Alexa/Alexa+,Fleet Type,Enterprise Owned - Resellers,Vertical,Subscription Type,Partner Name,Start Date,End Date,Scenario,Metrics,Value
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,4/1/26,4/1/26,OP2,New Deployments,300
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,4/1/26,4/1/26,OP2,Install Base,18959
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Subscription Revenue,Red Cross ES,4/1/26,4/1/26,OP2,Revenue (Subscription + Rev-Share),49944.06
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,5/1/26,5/1/26,OP2,New Deployments,300
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,5/1/26,5/1/26,OP2,Install Base,19259
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Subscription Revenue,Red Cross ES,5/1/26,5/1/26,OP2,Revenue (Subscription + Rev-Share),50747.07
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,6/1/26,6/1/26,OP2,New Deployments,0
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,6/1/26,6/1/26,OP2,Install Base,19259
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Subscription Revenue,Red Cross ES,6/1/26,6/1/26,OP2,Revenue (Subscription + Rev-Share),51550.07
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,7/1/26,7/1/26,OP2,New Deployments,0
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,7/1/26,7/1/26,OP2,Install Base,19259
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Subscription Revenue,Red Cross ES,7/1/26,7/1/26,OP2,Revenue (Subscription + Rev-Share),51550.07
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,8/1/26,8/1/26,OP2,New Deployments,0
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,8/1/26,8/1/26,OP2,Install Base,19259
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Subscription Revenue,Red Cross ES,8/1/26,8/1/26,OP2,Revenue (Subscription + Rev-Share),51550.07
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,9/1/26,9/1/26,OP2,New Deployments,0
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,9/1/26,9/1/26,OP2,Install Base,19259
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Subscription Revenue,Red Cross ES,9/1/26,9/1/26,OP2,Revenue (Subscription + Rev-Share),51550.07
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,10/1/26,10/1/26,OP2,New Deployments,0
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,10/1/26,10/1/26,OP2,Install Base,19259
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Subscription Revenue,Red Cross ES,10/1/26,10/1/26,OP2,Revenue (Subscription + Rev-Share),51550.07
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,11/1/26,11/1/26,OP2,New Deployments,0
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,11/1/26,11/1/26,OP2,Install Base,19259
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Subscription Revenue,Red Cross ES,11/1/26,11/1/26,OP2,Revenue (Subscription + Rev-Share),51550.07
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,12/1/26,12/1/26,OP2,New Deployments,0
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Base Subscription Revenue,Red Cross ES,12/1/26,12/1/26,OP2,Install Base,19259
ES,EU,Classic Alexa,Managed,Enterprise Owned,Senior Living,Subscription Revenue,Red Cross ES,12/1/26,12/1/26,OP2,Revenue (Subscription + Rev-Share),51550.07
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,1/1/26,1/1/26,OP2,Install Base,6539
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,1/1/26,1/1/26,OP2,Revenue (Subscription + Rev-Share),39179.88
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,2/1/26,2/1/26,OP2,Install Base,6539
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,2/1/26,2/1/26,OP2,Revenue (Subscription + Rev-Share),39179.88
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,3/1/26,3/1/26,OP2,Install Base,6539
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,3/1/26,3/1/26,OP2,Revenue (Subscription + Rev-Share),39179.88
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,4/1/26,4/1/26,OP2,Install Base,6539
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,4/1/26,4/1/26,OP2,Revenue (Subscription + Rev-Share),39179.88
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,5/1/26,5/1/26,OP2,Install Base,6539
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,5/1/26,5/1/26,OP2,Revenue (Subscription + Rev-Share),39179.88
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,6/1/26,6/1/26,OP2,Install Base,6539
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,6/1/26,6/1/26,OP2,Revenue (Subscription + Rev-Share),39179.88
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,7/1/26,7/1/26,OP2,Install Base,6430.02
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,7/1/26,7/1/26,OP2,Revenue (Subscription + Rev-Share),39179.88
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,8/1/26,8/1/26,OP2,Install Base,6321.03
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,8/1/26,8/1/26,OP2,Revenue (Subscription + Rev-Share),38526.89
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,9/1/26,9/1/26,OP2,Install Base,6212.05
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,9/1/26,9/1/26,OP2,Revenue (Subscription + Rev-Share),37873.89
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,10/1/26,10/1/26,OP2,Install Base,6103.07
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,10/1/26,10/1/26,OP2,Revenue (Subscription + Rev-Share),37220.89
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,11/1/26,11/1/26,OP2,Install Base,5994.08
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,11/1/26,11/1/26,OP2,Revenue (Subscription + Rev-Share),36567.89
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Base Subscription Revenue,Aiva Wagner Test,12/1/26,12/1/26,OP2,Install Base,5885.1
US,US,Classic Alexa,Managed,Enterprise Owned - Resellers,Healthcare,Subscription Revenue,Aiva Wagner Test,12/1/26,12/1/26,OP2,Revenue (Subscription + Rev-Share),35914.89
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,1/1/26,1/1/26,OP2,New Deployments,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,1/1/26,1/1/26,OP2,Install Base,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,1/1/26,1/1/26,OP2,Revenue (Subscription + Rev-Share),0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,2/1/26,2/1/26,OP2,New Deployments,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,2/1/26,2/1/26,OP2,Install Base,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,2/1/26,2/1/26,OP2,Revenue (Subscription + Rev-Share),0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,3/1/26,3/1/26,OP2,New Deployments,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,3/1/26,3/1/26,OP2,Install Base,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,3/1/26,3/1/26,OP2,Revenue (Subscription + Rev-Share),0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,4/1/26,4/1/26,OP2,New Deployments,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,4/1/26,4/1/26,OP2,Install Base,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,4/1/26,4/1/26,OP2,Revenue (Subscription + Rev-Share),0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,5/1/26,5/1/26,OP2,New Deployments,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,5/1/26,5/1/26,OP2,Install Base,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,5/1/26,5/1/26,OP2,Revenue (Subscription + Rev-Share),0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,6/1/26,6/1/26,OP2,New Deployments,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,6/1/26,6/1/26,OP2,Install Base,0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,6/1/26,6/1/26,OP2,Revenue (Subscription + Rev-Share),0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,7/1/26,7/1/26,OP2,New Deployments,1271
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,7/1/26,7/1/26,OP2,Install Base,1271
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,7/1/26,7/1/26,OP2,Revenue (Subscription + Rev-Share),0
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,8/1/26,8/1/26,OP2,New Deployments,446
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,8/1/26,8/1/26,OP2,Install Base,1717
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,8/1/26,8/1/26,OP2,Revenue (Subscription + Rev-Share),31775
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,9/1/26,9/1/26,OP2,New Deployments,801
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,9/1/26,9/1/26,OP2,Install Base,2518
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,9/1/26,9/1/26,OP2,Revenue (Subscription + Rev-Share),42925
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,10/1/26,10/1/26,OP2,New Deployments,820
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,10/1/26,10/1/26,OP2,Install Base,3338
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,10/1/26,10/1/26,OP2,Revenue (Subscription + Rev-Share),62950
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,11/1/26,11/1/26,OP2,New Deployments,598
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,11/1/26,11/1/26,OP2,Install Base,3936
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,11/1/26,11/1/26,OP2,Revenue (Subscription + Rev-Share),83450
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,12/1/26,12/1/26,OP2,New Deployments,674
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,12/1/26,12/1/26,OP2,Install Base,4610
US,US,Alexa+,Managed,Enterprise Owned,Hospitality,Subscription Revenue,Hard Rock Hotel,12/1/26,12/1/26,OP2,Revenue (Subscription + Rev-Share),98400
US,US,Alexa+,Managed,Enterprise Owned - Resellers,Senior Living,Base Subscription Revenue,CDW,1/1/26,1/1/26,OP2,New Deployments,0
US,US,Alexa+,Managed,Enterprise Owned - Resellers,Senior Living,Base Subscription Revenue,CDW,1/1/26,1/1/26,OP2,Install Base,0
US,US,Alexa+,Managed,Enterprise Owned - Resellers,Senior Living,Subscription Revenue,CDW,1/1/26,1/1/26,OP2,Revenue (Subscription + Rev-Share),0
US,US,Alexa+,Managed,Enterprise Owned - Resellers,Senior Living,Base Subscription Revenue,CDW,2/1/26,2/1/26,OP2,New Deployments,0
US,US,Alexa+,Managed,Enterprise Owned - Resellers,Senior Living,Base Subscription Revenue,CDW,2/1/26,2/1/26,OP2,Install Base,0
